ine_code,municipio,provincia,ccaa,population,rank,tier,region_tier
"03104","Petrer","Alicante/Alacant","Comunitat Valenciana",34022,230,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"08252","Barberà del Vallès","Barcelona","Cataluña",33987,231,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"09018","Aranda de Duero","Burgos","Castilla y León",33956,232,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"35002","Agüimes","Palmas, Las","Canarias",33800,233,"SEED","T3-UNVERIFIED"
"29084","Ronda","Málaga","Andalucía",33671,234,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"23092","Úbeda","Jaén","Andalucía",33588,235,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"39020","Castro-Urdiales","Cantabria","Cantabria",33450,236,"SEED","T3-UNVERIFIED"
"30039","Totana","Murcia","Región de Murcia",33358,237,"SEED","T3-UNVERIFIED"
"28096","Navalcarnero","Madrid","Comunidad de Madrid",33331,238,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"04066","Níjar","Almería","Andalucía",33319,239,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"45081","Illescas","Toledo","Castilla-La Mancha",33301,240,"SEED","T3-UNVERIFIED"
"15002","Ames","Coruña, A","Galicia",33276,241,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"35011","Ingenio","Palmas, Las","Canarias",32905,242,"SEED","T3-UNVERIFIED"
"48054","Leioa","Bizkaia","País Vasco",32748,243,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"08231","Sant Pere de Ribes","Barcelona","Cataluña",32705,244,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"43037","Calafell","Tarragona","Cataluña",32624,245,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"08270","Sitges","Barcelona","Cataluña",32609,246,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"46159","Manises","Valencia/València","Comunitat Valenciana",32609,247,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"07015","Ciutadella de Menorca","Balears, Illes","Illes Balears",32431,248,"SEED","T3-UNVERIFIED"
"12126","Vall d'Uixó, la","Castellón/Castelló","Comunitat Valenciana",32242,249,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"15019","Carballo","Coruña, A","Galicia",32120,250,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"46110","Xirivella","Valencia/València","Comunitat Valenciana",32093,251,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"13005","Alcázar de San Juan","Ciudad Real","Castilla-La Mancha",31914,252,"SEED","T3-UNVERIFIED"
"43905","Salou","Tarragona","Cataluña",31491,253,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"03050","Campello, el","Alicante/Alacant","Comunitat Valenciana",31419,254,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"41034","Coria del Río","Sevilla","Andalucía",31278,255,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"11006","Arcos de la Frontera","Cádiz","Andalucía",31267,256,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"15031","Culleredo","Coruña, A","Galicia",31254,257,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"38028","Puerto de la Cruz","Santa Cruz de Tenerife","Canarias",31137,258,"SEED","T3-UNVERIFIED"
"46145","Xàtiva","Valencia/València","Comunitat Valenciana",31008,259,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"03059","Crevillent","Alicante/Alacant","Comunitat Valenciana",30921,260,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"45161","Seseña","Toledo","Castilla-La Mancha",30907,261,"SEED","T3-UNVERIFIED"
"02037","Hellín","Albacete","Castilla-La Mancha",30836,262,"SEED","T3-UNVERIFIED"
"13087","Valdepeñas","Ciudad Real","Castilla-La Mancha",30782,263,"SEED","T3-UNVERIFIED"
"07032","Maó","Balears, Illes","Illes Balears",30666,264,"SEED","T3-UNVERIFIED"
"03082","Xàbia/Jávea","Alicante/Alacant","Comunitat Valenciana",30642,265,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"46094","Catarroja","Valencia/València","Comunitat Valenciana",30604,266,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"39016","Camargo","Cantabria","Cantabria",30577,267,"SEED","T3-UNVERIFIED"
"12138","Vinaròs","Castellón/Castelló","Comunitat Valenciana",30529,268,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"12027","Benicarló","Castellón/Castelló","Comunitat Valenciana",30296,269,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"41024","Carmona","Sevilla","Andalucía",30240,270,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"48027","Durango","Bizkaia","País Vasco",30192,271,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"46005","Alaquàs","Valencia/València","Comunitat Valenciana",30166,272,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"28181","Villaviciosa de Odón","Madrid","Comunidad de Madrid",30127,273,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"08163","Pineda de Mar","Barcelona","Cataluña",30108,274,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"35014","Oliva, La","Palmas, Las","Canarias",30022,275,"SEED","T3-UNVERIFIED"
"14056","Puente Genil","Córdoba","Andalucía",29963,276,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"24142","San Andrés del Rabanedo","León","Castilla y León",29944,277,"SEED","T2-PDF-CEDULA-ONLY(sourced)"
"07048","Sant Josep de sa Talaia","Balears, Illes","Illes Balears",29761,278,"SEED","T3-UNVERIFIED"
"21044","Lepe","Huelva","Andalucía",29677,279,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"30036","San Pedro del Pinatar","Murcia","Región de Murcia",29674,280,"SEED","T3-UNVERIFIED"
"08172","Premià de Mar","Barcelona","Cataluña",29431,281,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"04102","Vícar","Almería","Andalucía",29342,282,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"29038","Cártama","Málaga","Andalucía",29333,283,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"11030","Rota","Cádiz","Andalucía",29289,284,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"46235","Sueca","Valencia/València","Comunitat Valenciana",29194,285,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"08114","Martorell","Barcelona","Cataluña",29175,286,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"12009","Almassora","Castellón/Castelló","Comunitat Valenciana",29159,287,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"07046","Sant Antoni de Portmany","Balears, Illes","Illes Balears",29132,288,"SEED","T3-UNVERIFIED"
"41021","Camas","Sevilla","Andalucía",29089,289,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"38011","Candelaria","Santa Cruz de Tenerife","Canarias",29023,290,"SEED","T3-UNVERIFIED"
"36045","Redondela","Pontevedra","Galicia",28874,291,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"08263","Sant Vicenç dels Horts","Barcelona","Cataluña",28746,292,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"03090","Mutxamel","Alicante/Alacant","Comunitat Valenciana",28621,293,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"46070","Bétera","Valencia/València","Comunitat Valenciana",28560,294,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"48084","Sestao","Bizkaia","País Vasco",28512,295,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"46029","Algemesí","Valencia/València","Comunitat Valenciana",28306,296,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"46186","Paiporta","Valencia/València","Comunitat Valenciana",28136,297,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"41053","Lebrija","Sevilla","Andalucía",27788,298,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"28104","Paracuellos de Jarama","Madrid","Comunidad de Madrid",27650,299,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"03047","Calp","Alicante/Alacant","Comunitat Valenciana",27616,300,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"30022","Jumilla","Murcia","Región de Murcia",27574,301,"SEED","T3-UNVERIFIED"
"29008","Alhaurín el Grande","Málaga","Andalucía",27552,302,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"18017","Almuñécar","Granada","Andalucía",27544,303,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"20030","Eibar","Gipuzkoa","País Vasco",27484,304,"SEED","T3-FORAL-CADASTRE-BLOCKER"
"46202","Pobla de Vallbona, la","Valencia/València","Comunitat Valenciana",27471,305,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"08123","Molins de Rei","Barcelona","Cataluña",27300,306,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"41065","Morón de la Frontera","Sevilla","Andalucía",27210,307,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"15073","Ribeira","Coruña, A","Galicia",27102,308,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"08196","Sant Andreu de la Barca","Barcelona","Cataluña",27094,309,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY"
"46102","Quart de Poblet","Valencia/València","Comunitat Valenciana",26967,310,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"39052","Piélagos","Cantabria","Cantabria",26901,311,"SEED","T3-UNVERIFIED"
"03119","Sant Joan d'Alacant","Alicante/Alacant","Comunitat Valenciana",26834,312,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"46181","Oliva","Valencia/València","Comunitat Valenciana",26813,313,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"36008","Cangas","Pontevedra","Galicia",26711,314,"SEED","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"03093","Novelda","Alicante/Alacant","Comunitat Valenciana",26606,315,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"29042","Coín","Málaga","Andalucía",26574,316,"SEED","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"28040","Ciempozuelos","Madrid","Comunidad de Madrid",26350,317,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"46013","Alboraia/Alboraya","Valencia/València","Comunitat Valenciana",26273,318,"SEED","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"12084","Onda","Castellón/Castelló","Comunitat Valenciana",26190,319,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"08260","Santa Perpètua de Mogoda","Barcelona","Cataluña",26130,320,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"30015","Caravaca de la Cruz","Murcia","Región de Murcia",26126,321,"PRIORITY_407","T3-UNVERIFIED"
"06153","Villanueva de la Serena","Badajoz","Extremadura",25773,322,"PRIORITY_407","T3-UNVERIFIED"
"43161","Valls","Tarragona","Cataluña",25518,323,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"04003","Adra","Almería","Andalucía",25501,324,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"28152","Torrelodones","Madrid","Comunidad de Madrid",25433,325,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"41093","Tomares","Sevilla","Andalucía",25432,326,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"08051","Castellar del Vallès","Barcelona","Cataluña",25422,327,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"02081","Villarrobledo","Albacete","Castilla-La Mancha",25400,328,"PRIORITY_407","T3-UNVERIFIED"
"26036","Calahorra","Rioja, La","La Rioja",25367,329,"PRIORITY_407","T3-UNVERIFIED"
"46147","Llíria","Valencia/València","Comunitat Valenciana",25333,330,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"18021","Armilla","Granada","Andalucía",25300,331,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"35009","Gáldar","Palmas, Las","Canarias",25108,332,"PRIORITY_407","T3-UNVERIFIED"
"28084","Mejorada del Campo","Madrid","Comunidad de Madrid",25049,333,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"08147","Olesa de Montserrat","Barcelona","Cataluña",24966,334,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"21005","Almonte","Huelva","Andalucía",24864,335,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"48036","Galdakao","Bizkaia","País Vasco",24776,336,"PRIORITY_407","T3-FORAL-CADASTRE-BLOCKER"
"15017","Cambre","Coruña, A","Galicia",24765,337,"PRIORITY_407","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"08118","Masnou, El","Barcelona","Cataluña",24761,338,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"46105","Cullera","Valencia/València","Comunitat Valenciana",24702,339,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"48902","Erandio","Bizkaia","País Vasco",24659,340,"PRIORITY_407","T3-FORAL-CADASTRE-BLOCKER"
"38043","Tacoronte","Santa Cruz de Tenerife","Canarias",24619,341,"PRIORITY_407","T3-UNVERIFIED"
"38022","Icod de los Vinos","Santa Cruz de Tenerife","Canarias",24616,342,"PRIORITY_407","T3-UNVERIFIED"
"46214","Riba-roja de Túria","Valencia/València","Comunitat Valenciana",24616,343,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"02009","Almansa","Albacete","Castilla-La Mancha",24615,344,"PRIORITY_407","T3-UNVERIFIED"
"03018","Altea","Alicante/Alacant","Comunitat Valenciana",24592,345,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"17117","Palafrugell","Girona","Cataluña",24543,346,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"03079","Ibi","Alicante/Alacant","Comunitat Valenciana",24500,347,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"23060","Martos","Jaén","Andalucía",24462,348,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"11008","Barrios, Los","Cádiz","Andalucía",24449,349,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"41058","Mairena del Alcor","Sevilla","Andalucía",24339,350,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"03902","Pilar de la Horadada","Alicante/Alacant","Comunitat Valenciana",24316,351,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"30008","Alhama de Murcia","Murcia","Región de Murcia",24163,352,"PRIORITY_407","T3-UNVERIFIED"
"11014","Conil de la Frontera","Cádiz","Andalucía",24102,353,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"21050","Moguer","Huelva","Andalucía",24083,354,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"28176","Villanueva de la Cañada","Madrid","Comunidad de Madrid",24028,355,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"35024","Teguise","Palmas, Las","Canarias",24027,356,"PRIORITY_407","T3-UNVERIFIED"
"36026","Marín","Pontevedra","Galicia",23991,357,"PRIORITY_407","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"38035","San Miguel de Abona","Santa Cruz de Tenerife","Canarias",23960,358,"PRIORITY_407","T3-UNVERIFIED"
"43171","Vila-seca","Tarragona","Cataluña",23917,359,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"18905","Gabias, Las","Granada","Andalucía",23584,360,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"20079","Zarautz","Gipuzkoa","País Vasco",23496,361,"PRIORITY_407","T3-FORAL-CADASTRE-BLOCKER"
"41086","San Juan de Aznalfarache","Sevilla","Andalucía",23408,362,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"36042","Ponteareas","Pontevedra","Galicia",23211,363,"PRIORITY_407","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
"46194","Picassent","Valencia/València","Comunitat Valenciana",23202,364,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"17160","Sant Feliu de Guíxols","Girona","Cataluña",23141,365,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"43014","Amposta","Tarragona","Cataluña",23080,366,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"41017","Bormujos","Sevilla","Andalucía",23071,367,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"03015","Almoradí","Alicante/Alacant","Comunitat Valenciana",22965,368,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"47076","Laguna de Duero","Valladolid","Castilla y León",22965,369,"PRIORITY_407","T2-PDF-CEDULA-ONLY(sourced)"
"31086","Valle de Egüés/Eguesibar","Navarra","Comunidad Foral de Navarra",22825,370,"PRIORITY_407","T3-FORAL-CADASTRE-BLOCKER"
"47010","Arroyo de la Encomienda","Valladolid","Castilla y León",22800,371,"PRIORITY_407","T2-PDF-CEDULA-ONLY(sourced)"
"21002","Aljaraque","Huelva","Andalucía",22737,372,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"30038","Torres de Cotillas, Las","Murcia","Región de Murcia",22676,373,"PRIORITY_407","T3-UNVERIFIED"
"08076","Esparreguera","Barcelona","Cataluña",22665,374,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"38019","Guía de Isora","Santa Cruz de Tenerife","Canarias",22654,375,"PRIORITY_407","T3-UNVERIFIED"
"11007","Barbate","Cádiz","Andalucía",22635,376,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"20055","Arrasate/Mondragón","Gipuzkoa","País Vasco",22450,377,"PRIORITY_407","T3-FORAL-CADASTRE-BLOCKER"
"03019","Aspe","Alicante/Alacant","Comunitat Valenciana",22397,378,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"14042","Montilla","Córdoba","Andalucía",22305,379,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"18127","Maracena","Granada","Andalucía",22294,380,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"46022","Alfafar","Valencia/València","Comunitat Valenciana",22270,381,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"46171","Montcada/Moncada","Valencia/València","Comunitat Valenciana",22213,382,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"29075","Nerja","Málaga","Andalucía",22132,383,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"29091","Torrox","Málaga","Andalucía",22015,384,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"38020","Güímar","Santa Cruz de Tenerife","Canarias",22009,385,"PRIORITY_407","T3-UNVERIFIED"
"21010","Ayamonte","Huelva","Andalucía",22001,386,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"33016","Castrillón","Asturias","Principado de Asturias",21998,387,"PRIORITY_407","T3-UNVERIFIED"
"46083","Carcaixent","Valencia/València","Comunitat Valenciana",21934,388,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"07003","Alcúdia","Balears, Illes","Illes Balears",21907,389,"PRIORITY_407","T3-UNVERIFIED"
"14055","Priego de Córdoba","Córdoba","Andalucía",21764,390,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"46205","Puçol","Valencia/València","Comunitat Valenciana",21659,391,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"35028","Tías","Palmas, Las","Canarias",21613,392,"PRIORITY_407","T3-UNVERIFIED"
"35015","Pájara","Palmas, Las","Canarias",21570,393,"PRIORITY_407","T3-UNVERIFIED"
"21042","Isla Cristina","Huelva","Andalucía",21525,394,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"23002","Alcalá la Real","Jaén","Andalucía",21496,395,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"21021","Cartaya","Huelva","Andalucía",21471,396,"PRIORITY_407","T3-DOCUMENT-REGISTRY(no-geometry-wfs-confirmed)"
"08112","Manlleu","Barcelona","Cataluña",21425,397,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"30041","Unión, La","Murcia","Región de Murcia",21380,398,"PRIORITY_407","T3-UNVERIFIED"
"31060","Burlada/Burlata","Navarra","Comunidad Foral de Navarra",21280,399,"PRIORITY_407","T3-FORAL-CADASTRE-BLOCKER"
"08219","Vilassar de Mar","Barcelona","Cataluña",21227,400,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"35012","Mogán","Palmas, Las","Canarias",21172,401,"PRIORITY_407","T3-UNVERIFIED"
"28009","Algete","Madrid","Comunidad de Madrid",21144,402,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"03011","Alfàs del Pi, l'","Alicante/Alacant","Comunitat Valenciana",21080,403,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"08221","Sant Just Desvern","Barcelona","Cataluña",21037,404,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY"
"28132","San Martín de la Vega","Madrid","Comunidad de Madrid",21010,405,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(city)"
"46213","Requena","Valencia/València","Comunitat Valenciana",20982,406,"PRIORITY_407","T1-VERIFIED-CLASSIFICATION-ONLY(+sector-edif)"
"36039","Porriño, O","Pontevedra","Galicia",20965,407,"PRIORITY_407","T2-PORTAL-CLASSIFICATION(legal-override-caveat)"
